Country,Query,Status,Match
Brunei Darussalam,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Brunei Darussalam,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Bulgaria,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Bulgaria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Burkina Faso,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Burkina Faso,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Burundi,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Burundi,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Cabo Verde (Cape Verde),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Cabo Verde (Cape Verde),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Cambodia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Cambodia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Cameroon,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Cameroon,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Canada,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest excluding,No - Wrong Info
Canada,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Central African Republic (CAR),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Central African Republic (CAR),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Chad,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Chad,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Chile,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Chile,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
China (People's Republic of China; PRC),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
China (People's Republic of China; PRC),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Chinese Taipei (Taiwan; Republic of China; ROC),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Chinese Taipei (Taiwan; Republic of China; ROC),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Colombia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Colombia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Comoros,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Comoros,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Congo (Republic of the Congo),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Congo (Republic of the Congo),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Cook Islands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Cook Islands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Costa Rica,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Costa Rica,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Côte d'Ivoire (Ivory Coast),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Côte d'Ivoire (Ivory Coast),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Croatia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Croatia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Cuba,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Cuba,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest including,No - Provides More Info
Curacao,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Curacao,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Cyprus,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Cyprus,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Czechia (Czech Republic),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Czechia (Czech Republic),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Democratic Peoples Republic of Korea (North Korea; DPRK),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Democratic Peoples Republic of Korea (North Korea; DPRK),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Democratic Republic of the Congo (DRC),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Democratic Republic of the Congo (DRC),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Denmark,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Denmark,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Djibouti,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Djibouti,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Dominica,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Dominica,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Dominican Republic,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Dominican Republic,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Ecuador,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Ecuador,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Egypt,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Egypt,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
El Salvador,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
El Salvador,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Equatorial Guinea,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Equatorial Guinea,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Eritrea,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Eritrea,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Estonia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Estonia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Eswatini (Swaziland),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Eswatini (Swaziland),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Ethiopia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Ethiopia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Fiji,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Fiji,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Finland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Finland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
France,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
France,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Gabon,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Gabon,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Gambia (Republic of The),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Gambia (Republic of The),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Georgia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Georgia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Germany,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Germany,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest including,No - Provides More Info
Germany,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Germany,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Ghana,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Ghana,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Greece,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Greece,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Grenada,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Grenada,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Guatemala,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Guatemala,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Guinea,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Guinea,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Guinea Bissau,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Guinea Bissau,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Guyana,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Guyana,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Haiti,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Haiti,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Holy See (Vatican City),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Holy See (Vatican City),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Honduras,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Honduras,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Hungary,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Hungary,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Iceland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Iceland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
India,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
India,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Indonesia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Indonesia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Iran (Islamic Republic of),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Iran (Islamic Republic of),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Iraq,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Iraq,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Ireland,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Ireland,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Israel,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Israel,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Italy,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Italy,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Jamaica,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Jamaica,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Japan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Japan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No - Wrong Info
Jordan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Jordan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Kazakhstan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Kazakhstan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Kenya,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Kenya,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Kiribati,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Kiribati,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Kuwait,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Kuwait,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Kyrgyzstan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Kyrgyzstan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Lao People's Democratic Republic (Laos; Lao PDR),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Lao People's Democratic Republic (Laos; Lao PDR),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Latvia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Latvia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Lebanon,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Lebanon,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Lesotho,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Lesotho,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Liberia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Liberia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Libya,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Libya,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Liechtenstein,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Liechtenstein,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Lithuania,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Lithuania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Luxembourg,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Luxembourg,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Madagascar,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No- Misses Information
Madagascar,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Malawi,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Malawi,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Malaysia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Malaysia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Maldives,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Maldives,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Mali,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Mali,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Malta,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Malta,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Marshall Islands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Marshall Islands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Mauritania,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Mauritania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Mauritius,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Mauritius,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Mexico,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Mexico,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Micronesia (Federated States of Micronesia),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Micronesia (Federated States of Micronesia),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Monaco,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Monaco,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Mongolia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Mongolia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Montenegro,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Montenegro,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Morocco,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Morocco,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Mozambique,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Mozambique,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Myanmar (Burma),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Myanmar (Burma),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Namibia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Namibia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Nauru,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Nauru,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Nepal,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Nepal,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Netherlands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Netherlands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
New Zealand,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
New Zealand,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Nicaragua,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Nicaragua,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Niger,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Niger,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Nigeria,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Nigeria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No - Wrong Info
Niue,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Niue,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
North Macedonia (Macedonia; FYROM),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
North Macedonia (Macedonia; FYROM),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Norway,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Norway,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest including,No - Provides More Info
Oman,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Oman,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Pakistan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Pakistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No - Wrong Info
Palau,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Palau,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Panama,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Panama,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
